k,log,eval_seed,accuracy
0,BPI17,0,0.784423291683197
0,BPI17,1,0.7864989042282104
0,BPI17,2,0.7856228351593018
0,BPI20ID,0,0.6717313528060913
0,BPI20ID,1,0.6854737401008606
0,BPI20ID,2,0.6848930716514587
0,bpi13_incidents,0,0.6167984008789062
0,bpi13_incidents,1,0.6160632371902466
0,bpi13_incidents,2,0.613673985004425
0,helpdesk,0,0.759158194065094
0,helpdesk,1,0.759158194065094
0,helpdesk,2,0.759158194065094
0,mimic_transfer,0,0.5417582392692566
0,mimic_transfer,1,0.5439560413360596
0,mimic_transfer,2,0.5410256385803223
1,BPI17,0,0.7991482019424438
1,BPI17,1,0.8002399206161499
1,BPI17,2,0.8001320958137512
1,BPI20ID,0,0.6665053963661194
1,BPI20ID,1,0.6631181836128235
1,BPI20ID,2,0.6733765602111816
1,bpi13_incidents,0,0.6848005652427673
1,bpi13_incidents,1,0.6770814061164856
1,bpi13_incidents,2,0.6813085675239563
1,helpdesk,0,0.7396726608276367
1,helpdesk,1,0.7552611231803894
1,helpdesk,2,0.7412315011024475
1,mimic_transfer,0,0.5567765831947327
1,mimic_transfer,1,0.5626373887062073
1,mimic_transfer,2,0.5666666626930237
2,BPI17,0,0.8046877384185791
2,BPI17,1,0.8063185811042786
2,BPI17,2,0.805853545665741
2,BPI20ID,0,0.732410728931427
2,BPI20ID,1,0.7292170524597168
2,BPI20ID,2,0.7282493114471436
2,bpi13_incidents,0,0.6750597357749939
2,bpi13_incidents,1,0.6802058219909668
2,bpi13_incidents,2,0.670281171798706
2,helpdesk,0,0.784879207611084
2,helpdesk,1,0.7568199634552002
2,helpdesk,2,0.7560405135154724
2,mimic_transfer,0,0.5897436141967773
2,mimic_transfer,1,0.5901098847389221
2,mimic_transfer,2,0.5831502079963684
3,BPI17,0,0.8361188173294067
3,BPI17,1,0.8317923545837402
3,BPI17,2,0.8339488506317139
3,BPI20ID,0,0.7292170524597168
3,BPI20ID,1,0.7220555543899536
3,BPI20ID,2,0.7264105081558228
3,bpi13_incidents,0,0.6691784858703613
3,bpi13_incidents,1,0.6673405766487122
3,bpi13_incidents,2,0.6678919196128845
3,helpdesk,0,0.7404520511627197
3,helpdesk,1,0.7482463121414185
3,helpdesk,2,0.7622759342193604
3,mimic_transfer,0,0.596703290939331
3,mimic_transfer,1,0.596703290939331
3,mimic_transfer,2,0.6029304265975952
4,BPI17,0,0.8213871717453003
4,BPI17,1,0.8231461048126221
4,BPI17,2,0.8234627842903137
4,BPI20ID,0,0.7191522121429443
4,BPI20ID,1,0.7177973389625549
4,BPI20ID,2,0.723410427570343
4,bpi13_incidents,0,0.6656864285469055
4,bpi13_incidents,1,0.6631134152412415
4,bpi13_incidents,2,0.6629295945167542
4,helpdesk,0,0.7763055562973022
4,helpdesk,1,0.7537022829055786
4,helpdesk,2,0.777864396572113
4,mimic_transfer,0,0.6069597005844116
4,mimic_transfer,1,0.6040292978286743
4,mimic_transfer,2,0.6091575026512146
5,BPI17,0,0.8215893507003784
5,BPI17,1,0.820335865020752
5,BPI17,2,0.8207738995552063
5,BPI20ID,0,0.6820865273475647
5,BPI20ID,1,0.6925384402275085
5,BPI20ID,2,0.6808283925056458
5,bpi13_incidents,0,0.664216160774231
5,bpi13_incidents,1,0.6700974106788635
5,bpi13_incidents,2,0.6666054129600525
5,helpdesk,0,0.785658597946167
5,helpdesk,1,0.7685112953186035
5,helpdesk,2,0.7911145687103271
5,mimic_transfer,0,0.5974358916282654
5,mimic_transfer,1,0.5985348224639893
5,mimic_transfer,2,0.5926740169525146
6,BPI17,0,0.8193519711494446
6,BPI17,1,0.8198843598365784
6,BPI17,2,0.819500207901001
6,BPI20ID,0,0.6336978673934937
6,BPI20ID,1,0.6713442206382751
6,BPI20ID,2,0.6696022748947144
6,bpi13_incidents,0,0.6761624813079834
6,bpi13_incidents,1,0.6754273176193237
6,bpi13_incidents,2,0.6785517334938049
6,helpdesk,0,0.8183943629264832
6,helpdesk,1,0.8332034349441528
6,helpdesk,2,0.8300857543945312
6,mimic_transfer,0,0.5714285969734192
6,mimic_transfer,1,0.5728937983512878
6,mimic_transfer,2,0.571794867515564
7,BPI17,0,0.815200686454773
7,BPI17,1,0.8121815919876099
7,BPI17,2,0.8161306977272034
7,BPI20ID,0,0.7254427671432495
7,BPI20ID,1,0.7225394248962402
7,BPI20ID,2,0.7250556349754333
7,bpi13_incidents,0,0.6662378311157227
7,bpi13_incidents,1,0.6643999218940735
7,bpi13_incidents,2,0.6616430878639221
7,helpdesk,0,0.831644594669342
7,helpdesk,1,0.8261886239051819
7,helpdesk,2,0.8332034349441528
7,mimic_transfer,0,0.5959706902503967
7,mimic_transfer,1,0.5970696210861206
7,mimic_transfer,2,0.596703290939331
8,BPI17,0,0.8173437118530273
8,BPI17,1,0.8179233074188232
8,BPI17,2,0.8170674443244934
8,BPI20ID,0,0.7384108901023865
8,BPI20ID,1,0.7412174344062805
8,BPI20ID,2,0.7485725283622742
8,bpi13_incidents,0,0.6666054129600525
8,bpi13_incidents,1,0.6649513244628906
8,bpi13_incidents,2,0.6666054129600525
8,helpdesk,0,0.8059236407279968
8,helpdesk,1,0.7575993537902832
8,helpdesk,2,0.7957910895347595
8,mimic_transfer,0,0.6029304265975952
8,mimic_transfer,1,0.6058608293533325
8,mimic_transfer,2,0.6036630272865295
9,BPI17,0,0.8050920367240906
9,BPI17,1,0.8041418194770813
9,BPI17,2,0.8035622835159302
9,BPI20ID,0,0.7724765539169312
9,BPI20ID,1,0.7686054110527039
9,BPI20ID,2,0.7746056318283081
9,bpi13_incidents,0,0.646756112575531
9,bpi13_incidents,1,0.6506156921386719
9,bpi13_incidents,2,0.6471236944198608
9,helpdesk,0,0.7700701355934143
9,helpdesk,1,0.7817614674568176
9,helpdesk,2,0.7646141648292542
9,mimic_transfer,0,0.601098895072937
9,mimic_transfer,1,0.6080586314201355
9,mimic_transfer,2,0.6062270998954773
10,BPI17,0,0.8001455664634705
10,BPI17,1,0.8010890483856201
10,BPI17,2,0.8004555702209473
10,BPI20ID,0,0.720313549041748
10,BPI20ID,1,0.720603883266449
10,BPI20ID,2,0.7266041040420532
10,bpi13_incidents,0,0.6577835083007812
10,bpi13_incidents,1,0.6728542447090149
10,bpi13_incidents,2,0.6750597357749939
10,helpdesk,0,0.832423985004425
10,helpdesk,1,0.7692907452583313
