k,J_over_15,mu,seedwise_mean,seedwise_sd,pooled_sd,between_log_sd,delta_mean,delta_ci_low,delta_ci_high,delta_bpi13_incidents,delta_BPI17,delta_BPI20ID,delta_helpdesk,delta_mimic_transfer,acc_bpi13_incidents,acc_BPI17,acc_BPI20ID,acc_helpdesk,acc_mimic_transfer,n_logs,n_eval_seeds,k_near_primary,k_near_sensitivity,sigma15
0,0.0,0.6766262213389078,0.6766262213389079,0.001741415383980631,0.0016307484183487417,0.10059537880134287,-0.043786128362019894,-0.07872181911612551,-0.008850437607914277,-0.0593640605608623,-0.01775074005126953,-0.06984094778696703,-0.009093304475148556,-0.06288158893585205,0.6155118743578593,0.7855150103569031,0.6806993881861368,0.759158194065094,0.5422466397285461,5,3,7,,0.0058
1,0.1738572720335566,0.6911971211433411,0.6911971211433411,0.0016328511709671062,0.0023754276460853916,0.08955628186745962,-0.029215228557586716,-0.07324287385530903,0.0148124167401356,0.006187578042348152,-0.0034256776173909875,-0.08287362257639574,-0.02286307017008471,-0.04310135046641028,0.6810635129610697,0.7998400727907816,0.6676667133967081,0.7453884283701578,0.5620268781979879,5,3,7,,0.0058
2,0.2918922086090146,0.7128684719403585,0.7128684719403585,0.004330311121588655,0.003551663760467972,0.08485886145197953,-0.007543877760569262,-0.020784645064682247,0.005696889543543723,0.0003063082695007324,0.0023542046546936035,-0.020581305027008057,-0.002338270346323723,-0.017460326353708866,0.6751822431882223,0.8056199550628662,0.7299590309460958,0.7659132281939188,0.5876679023106893,5,3,7,,0.0058
3,0.39412838613139684,0.7154176950454711,0.7154176950454713,0.002888680127621116,0.002480539093345398,0.08834451437481224,-0.004994654655456588,-0.03155963032110316,0.02157032101018999,-0.006738940874735588,0.030687590440114376,-0.024645964304606194,-0.01792673269907641,-0.006349225838979122,0.668136994043986,0.833953340848287,0.7258943716684977,0.7503247658411661,0.5987790028254191,5,3,7,,0.0058
4,0.47671729710632327,0.7165402809778849,0.7165402809778849,0.003695725306118235,0.0028402972036262472,0.08498441840203465,-0.0038720687230428207,-0.02668457900117893,0.01894044155509329,-0.010966122150421143,0.019399603207906124,-0.030420343081156487,0.0010392467180887488,0.0015872716903686523,0.6639098127683004,0.8226653536160787,0.7201199928919474,0.7692907452583313,0.6067155003547668,5,3,7,,0.0058
5,0.5537604029472578,0.710200043519338,0.710200043519338,0.00019785990449519233,0.0028234825452761237,0.09064228070366273,-0.01021230618158977,-0.05133869434794013,0.030914081984760595,-0.00790294011433923,0.01763395468393958,-0.06538921594619751,0.013509988784790039,-0.008913318316141727,0.6669729948043823,0.8208997050921122,0.6851511200269064,0.7817614873250326,0.5962149103482565,5,3,7,,0.0058
6,0.6229880687124033,0.7107548832893372,0.7107548832893371,0.006025595627137724,0.0045424505244433195,0.11019293652683995,-0.009657466411590576,-0.08015986028714617,0.06084492746396502,0.00183790922164917,0.01631309588750207,-0.09232554833094286,0.05897635221481323,-0.03308914105097449,0.6767138441403707,0.8195788462956747,0.658214787642161,0.8272278507550558,0.5720390876134237,5,3,7,,0.0058
7,0.6862694302868128,0.7259741266568501,0.7259741266568502,0.001309444681127477,0.0010193439175627719,0.09912790789307689,0.005561776955922415,-0.03700601985350303,0.04812957376534786,-0.0107823212941488,0.011238574981689453,-0.026194393634796143,0.062094052632649666,-0.0085470279057821,0.6640936136245728,0.8145043253898621,0.7243459423383077,0.8303455511728922,0.5965812007586161,5,3,7,,0.0058
8,0.7435396744760803,0.7233643889427185,0.7233643889427185,0.005069892324790652,0.005216843261957963,0.08760819560944325,0.0029520392417907494,-0.012602826208177069,0.018506904691758568,-0.008821884791056389,0.014179070790608761,-0.007806718349456787,0.018186529477437263,-0.0009768009185791016,0.6660540501276652,0.8174448211987814,0.7427336176236471,0.7864380280176798,0.6041514277458191,5,3,7,,0.0058
9,0.7914728701344909,0.7203206419944763,0.7203206419944763,0.0020067002987857714,0.002041080719070827,0.08784726541226054,-9.170770645146042e-05,-0.021465720893872994,0.021282305480970074,-0.026710768540700314,0.0009996294975280762,0.021355529626210457,0.003897090752919441,-1.9868214962137642e-08,0.6481651663780212,0.8042653799057007,0.7718958655993143,0.772148589293162,0.6051282087961832,5,3,7,,0.0058
