task,k,log,eval_seed,value
future_activity_set,0,BPI17,0,0.7630761861801147
future_activity_set,0,BPI17,1,0.7626001834869385
future_activity_set,0,BPI17,2,0.7651888132095337
future_activity_set,0,BPI20ID,0,0.8379423022270203
future_activity_set,0,BPI20ID,1,0.8380587697029114
future_activity_set,0,BPI20ID,2,0.8344923853874207
future_activity_set,0,bpi13_incidents,0,0.796787440776825
future_activity_set,0,bpi13_incidents,1,0.7921339273452759
future_activity_set,0,bpi13_incidents,2,0.7949057221412659
future_activity_set,0,helpdesk,0,0.8749693036079407
future_activity_set,0,helpdesk,1,0.8736479878425598
future_activity_set,0,helpdesk,2,0.8726380467414856
future_activity_set,0,mimic_transfer,0,0.7861053943634033
future_activity_set,0,mimic_transfer,1,0.7848805785179138
future_activity_set,0,mimic_transfer,2,0.7856053113937378
future_activity_set,1,BPI17,0,0.7658975124359131
future_activity_set,1,BPI17,1,0.7684416174888611
future_activity_set,1,BPI17,2,0.7686384916305542
future_activity_set,1,BPI20ID,0,0.8193053603172302
future_activity_set,1,BPI20ID,1,0.8209144473075867
future_activity_set,1,BPI20ID,2,0.8193678855895996
future_activity_set,1,bpi13_incidents,0,0.8356257677078247
future_activity_set,1,bpi13_incidents,1,0.8374749422073364
future_activity_set,1,bpi13_incidents,2,0.8372791409492493
future_activity_set,1,helpdesk,0,0.8798421025276184
future_activity_set,1,helpdesk,1,0.8789370059967041
future_activity_set,1,helpdesk,2,0.8792890906333923
future_activity_set,1,mimic_transfer,0,0.8050348162651062
future_activity_set,1,mimic_transfer,1,0.8051391839981079
future_activity_set,1,mimic_transfer,2,0.8048563003540039
future_activity_set,2,BPI17,0,0.7642104625701904
future_activity_set,2,BPI17,1,0.7709752917289734
future_activity_set,2,BPI17,2,0.7713621854782104
future_activity_set,2,BPI20ID,0,0.8376898169517517
future_activity_set,2,BPI20ID,1,0.8368054628372192
future_activity_set,2,BPI20ID,2,0.8394978046417236
future_activity_set,2,bpi13_incidents,0,0.8279539346694946
future_activity_set,2,bpi13_incidents,1,0.841749906539917
future_activity_set,2,bpi13_incidents,2,0.8309206366539001
future_activity_set,2,helpdesk,0,0.8753068447113037
future_activity_set,2,helpdesk,1,0.8746627569198608
future_activity_set,2,helpdesk,2,0.8756756782531738
future_activity_set,2,mimic_transfer,0,0.8156394958496094
future_activity_set,2,mimic_transfer,1,0.8157191276550293
future_activity_set,2,mimic_transfer,2,0.8153955936431885
future_activity_set,3,BPI17,0,0.7723268866539001
future_activity_set,3,BPI17,1,0.7723742127418518
future_activity_set,3,BPI17,2,0.7769845128059387
future_activity_set,3,BPI20ID,0,0.8410465717315674
future_activity_set,3,BPI20ID,1,0.8399415016174316
future_activity_set,3,BPI20ID,2,0.8332541584968567
future_activity_set,3,bpi13_incidents,0,0.8265185356140137
future_activity_set,3,bpi13_incidents,1,0.8265682458877563
future_activity_set,3,bpi13_incidents,2,0.8255640864372253
future_activity_set,3,helpdesk,0,0.8826732635498047
future_activity_set,3,helpdesk,1,0.8812052607536316
future_activity_set,3,helpdesk,2,0.8800592422485352
future_activity_set,3,mimic_transfer,0,0.8170394897460938
future_activity_set,3,mimic_transfer,1,0.8172982335090637
future_activity_set,3,mimic_transfer,2,0.8166904449462891
future_activity_set,4,BPI17,0,0.7773518562316895
future_activity_set,4,BPI17,1,0.7735543251037598
future_activity_set,4,BPI17,2,0.77768874168396
future_activity_set,4,BPI20ID,0,0.8356239795684814
future_activity_set,4,BPI20ID,1,0.8389097452163696
future_activity_set,4,BPI20ID,2,0.8278915882110596
future_activity_set,4,bpi13_incidents,0,0.8366146087646484
future_activity_set,4,bpi13_incidents,1,0.8361319303512573
future_activity_set,4,bpi13_incidents,2,0.835792064666748
future_activity_set,4,helpdesk,0,0.8764545917510986
future_activity_set,4,helpdesk,1,0.8855421543121338
future_activity_set,4,helpdesk,2,0.8765767812728882
future_activity_set,4,mimic_transfer,0,0.8175597786903381
future_activity_set,4,mimic_transfer,1,0.8176648020744324
future_activity_set,4,mimic_transfer,2,0.8180202841758728
future_activity_set,5,BPI17,0,0.7829803824424744
future_activity_set,5,BPI17,1,0.7806839346885681
future_activity_set,5,BPI17,2,0.7815905809402466
future_activity_set,5,BPI20ID,0,0.8152216672897339
future_activity_set,5,BPI20ID,1,0.8171254992485046
future_activity_set,5,BPI20ID,2,0.8143507242202759
future_activity_set,5,bpi13_incidents,0,0.826386570930481
future_activity_set,5,bpi13_incidents,1,0.8261931538581848
future_activity_set,5,bpi13_incidents,2,0.8271461725234985
future_activity_set,5,helpdesk,0,0.8777585029602051
future_activity_set,5,helpdesk,1,0.8905109763145447
future_activity_set,5,helpdesk,2,0.8781211376190186
future_activity_set,5,mimic_transfer,0,0.8133724331855774
future_activity_set,5,mimic_transfer,1,0.8134328126907349
future_activity_set,5,mimic_transfer,2,0.8118671178817749
future_activity_set,6,BPI17,0,0.7806747555732727
future_activity_set,6,BPI17,1,0.7768704891204834
future_activity_set,6,BPI17,2,0.7804144620895386
future_activity_set,6,BPI20ID,0,0.8140703439712524
future_activity_set,6,BPI20ID,1,0.8158170580863953
future_activity_set,6,BPI20ID,2,0.8147972822189331
future_activity_set,6,bpi13_incidents,0,0.8352562785148621
future_activity_set,6,bpi13_incidents,1,0.8360635042190552
future_activity_set,6,bpi13_incidents,2,0.8334566950798035
future_activity_set,6,helpdesk,0,0.8881611824035645
future_activity_set,6,helpdesk,1,0.8937357068061829
future_activity_set,6,helpdesk,2,0.8898990154266357
future_activity_set,6,mimic_transfer,0,0.8124609589576721
future_activity_set,6,mimic_transfer,1,0.8120421767234802
future_activity_set,6,mimic_transfer,2,0.8125
future_activity_set,7,BPI17,0,0.7726289629936218
future_activity_set,7,BPI17,1,0.7669685482978821
future_activity_set,7,BPI17,2,0.7735278010368347
future_activity_set,7,BPI20ID,0,0.8581570982933044
future_activity_set,7,BPI20ID,1,0.8594443798065186
future_activity_set,7,BPI20ID,2,0.8550527691841125
future_activity_set,7,bpi13_incidents,0,0.8257978558540344
future_activity_set,7,bpi13_incidents,1,0.8361189961433411
future_activity_set,7,bpi13_incidents,2,0.8369556069374084
future_activity_set,7,helpdesk,0,0.8745039701461792
future_activity_set,7,helpdesk,1,0.8761193752288818
future_activity_set,7,helpdesk,2,0.8743793368339539
future_activity_set,7,mimic_transfer,0,0.8180042505264282
future_activity_set,7,mimic_transfer,1,0.8181253671646118
future_activity_set,7,mimic_transfer,2,0.8178590536117554
future_activity_set,8,BPI17,0,0.7726905941963196
future_activity_set,8,BPI17,1,0.7687540054321289
future_activity_set,8,BPI17,2,0.7695872187614441
future_activity_set,8,BPI20ID,0,0.8687106370925903
future_activity_set,8,BPI20ID,1,0.8665416836738586
