log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,pfm,next_time,0,0,0,0.6017481684684753,2026-09-11T15:30:36
BPI17,pfm,next_time,0,0,1,0.6017482876777649,2026-09-11T15:32:00
BPI17,pfm,next_time,0,0,2,0.6017482876777649,2026-09-11T15:43:01
BPI17,pfm,next_time,10,10,0,0.5939558148384094,2026-09-11T15:30:36
BPI17,pfm,next_time,10,10,1,0.5938816666603088,2026-09-11T15:32:00
BPI17,pfm,next_time,10,10,2,0.5930784344673157,2026-09-11T15:43:01
BPI17,pfm,next_time,100,100,0,0.5922862887382507,2026-09-11T15:30:36
BPI17,pfm,next_time,100,100,1,0.592280387878418,2026-09-11T15:32:00
BPI17,pfm,next_time,100,100,2,0.5923819541931152,2026-09-11T15:43:01
BPI17,pfm,next_time,1000,1000,0,0.5919078588485718,2026-09-11T15:30:36
BPI17,pfm,next_time,1000,1000,1,0.5919340252876282,2026-09-11T15:32:00
BPI17,pfm,next_time,1000,1000,2,0.5918988585472107,2026-09-11T15:43:01
BPI17,pfm,next_time,30,30,0,0.5924364924430847,2026-09-11T15:30:36
BPI17,pfm,next_time,30,30,1,0.5924644470214844,2026-09-11T15:32:00
BPI17,pfm,next_time,30,30,2,0.592760443687439,2026-09-11T15:43:01
BPI17,pfm,next_time,300,300,0,0.5920236706733704,2026-09-11T15:30:36
BPI17,pfm,next_time,300,300,1,0.5919842720031738,2026-09-11T15:32:00
BPI17,pfm,next_time,300,300,2,0.5919861197471619,2026-09-11T15:43:01
BPI17,pfm,next_time,5000,5000,0,0.5917873978614807,2026-09-11T15:30:36
BPI17,pfm,next_time,5000,5000,1,0.5917909145355225,2026-09-11T15:32:00
BPI17,pfm,next_time,5000,5000,2,0.5918164849281311,2026-09-11T15:43:01
BPI17,pfm,next_time,all,20446,0,0.5917119383811951,2026-09-11T15:30:36
BPI17,pfm,next_time,all,20446,1,0.5917102098464966,2026-09-11T15:32:00
BPI17,pfm,next_time,all,20446,2,0.591712236404419,2026-09-11T15:43:01
BPI17,pfm,remaining_count,0,0,0,18.78091812133789,2026-09-11T15:30:36
BPI17,pfm,remaining_count,0,0,1,19.503522872924805,2026-09-11T15:32:00
BPI17,pfm,remaining_count,0,0,2,19.190332412719727,2026-09-11T15:43:01
BPI17,pfm,remaining_count,10,10,0,13.714221954345703,2026-09-11T15:30:36
BPI17,pfm,remaining_count,10,10,1,13.550536155700684,2026-09-11T15:32:00
BPI17,pfm,remaining_count,10,10,2,13.686151504516602,2026-09-11T15:43:01
BPI17,pfm,remaining_count,100,100,0,12.915977478027344,2026-09-11T15:30:36
BPI17,pfm,remaining_count,100,100,1,13.593974113464355,2026-09-11T15:32:00
BPI17,pfm,remaining_count,100,100,2,13.295300483703613,2026-09-11T15:43:01
BPI17,pfm,remaining_count,1000,1000,0,8.750143051147461,2026-09-11T15:30:36
BPI17,pfm,remaining_count,1000,1000,1,8.887421607971191,2026-09-11T15:32:00
BPI17,pfm,remaining_count,1000,1000,2,8.637770652770996,2026-09-11T15:43:01
BPI17,pfm,remaining_count,30,30,0,13.048938751220703,2026-09-11T15:30:36
BPI17,pfm,remaining_count,30,30,1,13.721646308898926,2026-09-11T15:32:00
BPI17,pfm,remaining_count,30,30,2,13.650217056274414,2026-09-11T15:43:01
BPI17,pfm,remaining_count,300,300,0,9.423521041870117,2026-09-11T15:30:36
BPI17,pfm,remaining_count,300,300,1,9.774982452392578,2026-09-11T15:32:00
BPI17,pfm,remaining_count,300,300,2,9.805521011352539,2026-09-11T15:43:01
BPI17,pfm,remaining_count,5000,5000,0,8.366888999938965,2026-09-11T15:30:36
BPI17,pfm,remaining_count,5000,5000,1,8.384957313537598,2026-09-11T15:32:00
BPI17,pfm,remaining_count,5000,5000,2,8.384769439697266,2026-09-11T15:43:01
BPI17,pfm,remaining_count,all,20446,0,8.308953285217285,2026-09-11T15:30:36
BPI17,pfm,remaining_count,all,20446,1,8.267159461975098,2026-09-11T15:32:00
BPI17,pfm,remaining_count,all,20446,2,8.285065650939941,2026-09-11T15:43:01
BPI17,pfm,remaining_time,0,0,0,12.445624351501465,2026-09-11T15:30:36
BPI17,pfm,remaining_time,0,0,1,12.445629119873047,2026-09-11T15:32:00
BPI17,pfm,remaining_time,0,0,2,12.445629119873047,2026-09-11T15:43:01
BPI17,pfm,remaining_time,10,10,0,12.419567108154297,2026-09-11T15:30:36
BPI17,pfm,remaining_time,10,10,1,12.431187629699707,2026-09-11T15:32:00
BPI17,pfm,remaining_time,10,10,2,12.427620887756348,2026-09-11T15:43:01
BPI17,pfm,remaining_time,100,100,0,12.409112930297852,2026-09-11T15:30:36
BPI17,pfm,remaining_time,100,100,1,12.430471420288086,2026-09-11T15:32:00
BPI17,pfm,remaining_time,100,100,2,12.425274848937988,2026-09-11T15:43:01
BPI17,pfm,remaining_time,1000,1000,0,8.072964668273926,2026-09-11T15:30:36
BPI17,pfm,remaining_time,1000,1000,1,7.996922016143799,2026-09-11T15:32:00
BPI17,pfm,remaining_time,1000,1000,2,7.832183837890625,2026-09-11T15:43:01
BPI17,pfm,remaining_time,30,30,0,12.41062068939209,2026-09-11T15:30:36
BPI17,pfm,remaining_time,30,30,1,12.431447982788086,2026-09-11T15:32:00
BPI17,pfm,remaining_time,30,30,2,12.429689407348633,2026-09-11T15:43:01
BPI17,pfm,remaining_time,300,300,0,8.179631233215332,2026-09-11T15:30:36
