name,split,cases,events,acts,med_len,max_len,variants,variants_fileorder,frac_unsorted,med_gap,mean_gap,frac_zero_gap,med_dur,mean_dur
BPI12,both,13087,262200,24,11,175,4366,4366,0.0,0.0005541087962962963,0.45304838585676943,0.05617932424241208,0.8085351157409173,8.623843703364972
BPI17,eval,31509,1202267,26,35,180,15930,15930,0.0,9.283564846824716e-05,0.5893913794051132,0.0,19.087739212962763,21.899605591087358
BPI19,pre,251734,1595923,42,5,990,11973,11973,0.0,2.4715277777777778,13.39481017560692,0.17368316509062343,64.04409722222223,71.52453182779796
BPI18,pre,43809,2514266,41,49,2973,28489,28457,0.019699148576776463,0.0012800115733234971,5.947504110506937,0.08340197785268069,266.6515084837957,335.3889192250596
Road Traffic,pre,150370,561470,11,5,20,231,231,0.0,60.0,124.97654990675424,0.029233763074677694,198.04166666666666,341.67626299572163
BPI20ID,eval,6449,72151,34,10,27,753,753,0.0,1.9956655092592592,8.485695982498703,0.005768469757389425,66.04166666666667,86.4517285535943
BPI11,pre,1143,150291,624,55,1814,981,981,0.0,0.0,2.9631238769544344,0.8742993536621343,333.0,386.65266841644797
Hospital Billing,pre,100000,451359,18,5,217,1020,1020,0.0,4.022650462962963,36.24859137066389,0.0014372764039059765,102.37797453703703,127.36268815405093
MIMIC,eval,546024,2550628,48,4,35,42673,42673,3.662842658930743e-06,0.2658564814814815,1.352985019509395,0.03480438031651139,2.9980613425925924,4.96717943176236
MIMIC-5k,eval,5000,23162,47,4,19,1201,1201,0.0,0.2625,1.3483809200987409,0.03711045039092611,2.9010011574074075,4.897858854166667
BPI13,eval,7554,65533,4,6,123,1511,1511,0.0,0.007025462962962963,1.5738002903988864,0.0,7.549126157407407,12.079344325792565
Helpdesk,eval,3804,13710,9,3,14,154,154,0.0,0.16793402777777777,3.3784852836571173,0.009186351706036745,3.9278125,8.797916724476183
