log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,gin0,future_activity_set,all,20446,0,0.7385589480400085,2026-09-06T22:33:26
BPI17,gin0,future_activity_set,all,20446,1,0.728927731513977,2026-09-06T22:33:57
BPI17,gin0,future_activity_set,all,20446,2,0.7249171733856201,2026-09-06T22:26:20
BPI17,gin0,next_3_activities,all,20446,0,0.7007601261138916,2026-09-06T22:33:26
BPI17,gin0,next_3_activities,all,20446,1,0.7017114758491516,2026-09-06T22:33:57
BPI17,gin0,next_3_activities,all,20446,2,0.7015193700790405,2026-09-06T22:26:20
BPI17,gin0,next_5_activities,all,20446,0,0.6474946737289429,2026-09-06T22:33:26
BPI17,gin0,next_5_activities,all,20446,1,0.6503838896751404,2026-09-06T22:33:57
BPI17,gin0,next_5_activities,all,20446,2,0.6475921273231506,2026-09-06T22:26:20
BPI17,gin0,next_activity,all,20446,0,0.7860001921653748,2026-09-06T22:33:26
BPI17,gin0,next_activity,all,20446,1,0.7871458530426025,2026-09-06T22:33:57
BPI17,gin0,next_activity,all,20446,2,0.786849319934845,2026-09-06T22:26:20
BPI17,gin0,next_time,all,20446,0,0.5864304900169373,2026-09-06T22:33:26
BPI17,gin0,next_time,all,20446,1,0.5845814347267151,2026-09-06T22:33:57
BPI17,gin0,next_time,all,20446,2,0.5812879204750061,2026-09-06T22:26:20
BPI17,gin0,remaining_count,all,20446,0,8.513689041137695,2026-09-06T22:33:26
BPI17,gin0,remaining_count,all,20446,1,8.442998886108398,2026-09-06T22:33:57
BPI17,gin0,remaining_count,all,20446,2,8.591960906982422,2026-09-06T22:26:20
BPI17,gin0,remaining_time,all,20446,0,7.386633396148682,2026-09-06T22:33:26
BPI17,gin0,remaining_time,all,20446,1,7.417748928070068,2026-09-06T22:33:57
BPI17,gin0,remaining_time,all,20446,2,7.302549362182617,2026-09-06T22:26:20
BPI17,gin11,future_activity_set,all,20446,0,0.7544200420379639,2026-09-06T22:17:38
BPI17,gin11,future_activity_set,all,20446,1,0.7473845481872559,2026-09-06T22:05:12
BPI17,gin11,future_activity_set,all,20446,2,0.7466601133346558,2026-09-06T22:18:50
BPI17,gin11,next_3_activities,all,20446,0,0.7138151526451111,2026-09-06T22:17:38
BPI17,gin11,next_3_activities,all,20446,1,0.7139054536819458,2026-09-06T22:05:12
BPI17,gin11,next_3_activities,all,20446,2,0.7133568525314331,2026-09-06T22:18:50
BPI17,gin11,next_5_activities,all,20446,0,0.654022216796875,2026-09-06T22:17:38
BPI17,gin11,next_5_activities,all,20446,1,0.6574600338935852,2026-09-06T22:05:12
BPI17,gin11,next_5_activities,all,20446,2,0.6558012962341309,2026-09-06T22:18:50
BPI17,gin11,next_activity,all,20446,0,0.798191249370575,2026-09-06T22:17:38
BPI17,gin11,next_activity,all,20446,1,0.7970051765441895,2026-09-06T22:05:12
BPI17,gin11,next_activity,all,20446,2,0.7978745102882385,2026-09-06T22:18:50
BPI17,gin11,next_time,all,20446,0,0.587480902671814,2026-09-06T22:17:38
BPI17,gin11,next_time,all,20446,1,0.5848737359046936,2026-09-06T22:05:12
BPI17,gin11,next_time,all,20446,2,0.5879705548286438,2026-09-06T22:18:50
BPI17,gin11,remaining_count,all,20446,0,8.188902854919434,2026-09-06T22:17:38
BPI17,gin11,remaining_count,all,20446,1,8.190924644470215,2026-09-06T22:05:12
BPI17,gin11,remaining_count,all,20446,2,8.224862098693848,2026-09-06T22:18:50
BPI17,gin11,remaining_time,all,20446,0,7.2088623046875,2026-09-06T22:17:38
BPI17,gin11,remaining_time,all,20446,1,7.51080322265625,2026-09-06T22:05:12
BPI17,gin11,remaining_time,all,20446,2,7.374589920043945,2026-09-06T22:18:50
